buffer,partition,lake_id,rmse,mae,corr,obs_mean,pred_mean,pred_zmean,pred_zmax
100,train,176,0.7396907,0.518744,0.24955918203086763,17.08459,16.907827,1.8578337,3.772131
100,train,113,0.6130449,0.52386945,0.2266913088736166,8.101237,7.5873814,1.2781438,2.3700323
100,train,188,0.45609313,0.36316532,0.739371193263927,0.024842167,0.26046467,2.0897977,2.7783668
100,train,175,1.5463144,1.4716454,0.9098673863050832,23.937595,22.49729,2.9814072,5.2931404
100,train,38,0.46196505,0.3731652,0.6070394304765725,15.97283,15.788601,1.5663855,2.2630978
100,train,120,0.6819278,0.51700467,0.8654351290219647,39.477043,39.16639,3.3077989,4.938015
100,train,116,2.802719,2.1031735,0.9234211472338492,14.487976,13.364351,9.126009,27.120972
100,train,8,0.8831742,0.7209988,0.16581931502551464,31.132977,30.577137,2.1794233,4.1915817
100,train,100,0.8087651,0.71521825,0.9114217903859007,20.819063,20.214972,3.1793869,5.1249466
100,train,190,4.200738,3.5154796,0.8383907565662239,-5.8748097,-2.6071918,3.9114366,8.42976
100,train,30,0.64386433,0.50951505,0.5205361482034527,7.155934,6.681237,1.7692804,3.5103664
100,train,41,2.5435681,1.9132786,0.9663972059439769,4.782299,3.7757363,13.028707,23.919456
100,train,137,3.0991948,2.4478667,0.972504568529706,6.8754697,4.8006797,17.084703,29.40694
100,train,135,0.5998168,0.47733286,0.7891417682434059,15.180758,15.085992,2.2225883,3.75704
100,train,193,1.1203359,0.79282665,0.9167316531661711,72.07518,72.05037,3.7533286,8.160332
100,train,78,1.1704122,1.053441,0.9156169761989108,21.260654,20.23427,2.6357238,4.562723
100,train,69,0.40188998,0.32820684,0.47616127903657957,1.6974801,1.765281,1.3895345,2.3559394
100,train,17,1.2760872,1.0090709,0.8064577648226408,14.542885,14.107425,2.2641969,6.9777737
100,train,141,0.7786583,0.5903651,0.9559459863657269,15.145546,14.823808,4.390202,10.331766
100,train,146,1.3916522,1.1011466,0.940239430305694,18.912355,18.020138,4.791796,11.405979
100,train,34,0.49277136,0.37560344,0.9166697454095577,51.343273,51.19371,3.5629294,5.365856
100,train,68,1.3618428,1.2115374,0.8049392009464275,32.827755,31.677025,3.2771246,5.6997337
100,train,25,1.2730426,1.0224351,0.934273403202601,16.777916,16.108475,4.866452,13.259899
100,train,42,1.2717108,1.2077136,0.9119459203420313,35.255833,34.06289,3.3576365,5.379692
100,train,4,1.2569156,1.1593086,0.9627943707393466,23.520176,22.395369,4.911225,8.704161
100,train,52,0.6387444,0.5864611,0.6573771567079963,2.8053498,2.240206,1.7089539,3.0715888
100,train,182,1.0349932,0.90539265,0.7164708984210144,38.44905,37.622967,2.523475,4.2899704
100,train,209,1.3387355,1.2079353,0.7979488597716314,24.730247,23.604362,2.7963655,4.348707
100,train,158,0.6890212,0.56466967,0.764498953694979,16.398619,16.373457,2.3444893,4.0778294
100,train,163,1.1005237,0.8006622,0.9668670746704998,17.93794,17.600748,7.673691,13.8519535
100,train,97,0.48676193,0.3502366,0.895610724644974,-1.9272772,-2.1371057,2.3762572,3.8331323
100,train,125,1.3384453,0.9921242,0.9356139082133553,0.23693751,-0.64515513,4.870172,7.9997663
100,train,16,0.7293527,0.59719616,0.6345312547561837,19.268759,18.747478,2.2623563,3.928091
100,train,129,0.99044836,0.9192148,-0.21804480713540278,-1.1908729,-0.29156855,0.5661324,3.4756978
100,train,109,1.5693234,1.4248232,0.952639718923922,32.257404,30.85453,5.1148267,8.720177
100,train,205,0.72968817,0.56181496,0.9586499213071581,17.62294,17.362017,5.0423346,9.04809
100,train,174,0.8992785,0.7635718,0.9134870443759232,37.246067,36.569336,2.821556,4.5973244
100,train,44,0.9722165,0.88900524,0.7005894582038035,16.100052,15.249268,1.6297597,3.850668
100,train,154,0.9005841,0.61885625,0.5746088685703313,15.22908,15.2018585,2.9068432,9.748255
100,train,19,1.3189905,1.2065402,0.8616760610861202,27.799978,26.5983,3.4257236,5.9862595
